topic,term,weight
000,million,0.035529327
000,revenue,0.015739422
000,year,0.016667569
000,increase,0.015393287
000,expensar,0.015090252
000,cost,0.012500958
000,end,0.01106031
000,cash,0.01071901
000,tax,0.009155134
000,salir,0.008667923
001,bank,0.022784205
001,loan,0.01990054
001,interest,0.020518873
001,loar,0.013335821
001,company,0.019211533
001,asset,0.0145598855
001,deposit,0.009371668
001,ratio,0.0072563696
001,federal,0.007060116
001,institution,0.006193574
002,income,0.08106493
002,loss,0.058674797
002,net,0.058827654
002,share,0.054457836
002,datar,0.03219289
002,expensar,0.027941095
002,operation,0.035247117
002,asset,0.023395777
002,dilute,0.020868525
002,basic,0.020513076
003,statement,0.081413314
003,forward,0.067714274
003,report,0.052381035
003,annual,0.029790578
003,form,0.02855013
003,part,0.031205956
003,update,0.021462262
003,factor,0.021633586
003,obligation,0.02013495
003,future,0.01859703
004,rate,0.095818475
004,interest,0.072522245
004,risk,0.029370831
004,debt,0.02270817
004,foreign,0.02056317
004,currency,0.019951314
004,market,0.025023434
004,investment,0.017558485
004,variable,0.0136805605
004,fix,0.013208049
005,part,0.08430815
005,result,0.083221614
005,discussion,0.08354525
005,item,0.10044424
005,table,0.035720736
005,content,0.03445916
005,factor,0.032207783
005,future,0.026374068
005,affect,0.024349235
005,security,0.021125833
006,share,0.095039
006,company,0.09211178
006,purchase,0.057565376
006,stock,0.048854824
006,repurchase,0.0374941
006,numb,0.03706562
006,program,0.03700647
006,common,0.038586233
006,period,0.023433601
006,end,0.021483086
007,discussion,0.19020921
007,sec,0.0036581878
007,business,0.0029211168
007,website,0.002088961
007,continue,0.0023192042
007,material,0.0016782403
007,base,0.002693544
007,employee,0.0014258451
007,service,0.002518576
007,liability,0.002608288
008,analysis,0.19136885
008,sec,0.0042593977
008,website,0.0031089603
008,base,0.0030511827
008,current,0.0032533985
008,filing,0.001320672
008,file,0.0016679381
008,site,0.0011972613
008,obtain,0.0010606803
008,electronically,0.0010615678
009,financial,0.18323319
009,service,0.004200458
009,registration,0.0018688431
009,customer,0.0024610255
009,liability,0.0031156659
009,system,0.001555451
009,offer,0.0015202073
009,gas,0.0013124736
009,product,0.0030539443
009,strategy,0.0013593584
010,condition,0.19417635
010,service,0.003233282
010,continue,0.0024312069
010,discontinue,0.0019239235
010,furnish,0.0011915119
010,conditional,0.0009128992
010,president,0.0011596718
010,begin,0.0009752887
010,commission,0.0010820096
010,liability,0.0025792178
011,result,0.2004684
011,service,0.004531241
011,product,0.0043077795
011,consider,0.0029684629
011,customer,0.0030735258
011,light,0.0024859996
011,technology,0.0019316819
011,development,0.0021903818
011,cautionary,0.0019041147
011,system,0.0016086551
012,management,0.14835341
012,management's,0.07545677
012,form,0.008860957
012,sec,0.005355878
012,website,0.0043851025
012,file,0.003659023
012,filing,0.0021200452
012,base,0.003477126
012,electronically,0.00155787
012,current,0.0034510929
013,operation,0.21127139
013,product,0.006039948
013,service,0.0052649775
013,net,0.008323198
013,customer,0.0038255237
013,salir,0.0041822144
013,average,0.0054997425
013,revenue,0.004714637
013,defer,0.0028652293
013,income,0.00939996
014,notar,0.16785367
014,financial,0.12835445
014,consolidate,0.10566135
014,statement,0.10539278
014,issue,0.06958338
014,standard,0.06317347
014,adopt,0.062508434
014,recently,0.0624501
014,item,0.1140371
014,account,0.0537429
015,analysis,0.17833981
015,discussion,0.1801171
015,item,0.21182257
015,capital,0.11037465
015,resource,0.09965934
015,liquidity,0.09951342
015,management's,0.098336734
015,security,0.015696496
015,plan,0.003507233
016,item,0.3336168
016,7a,0.26536256
016,market,0.10057027
016,risk,0.094772846
016,disclosure,0.07545954
016,quantitative,0.06582727
016,qualitative,0.06439071
017,item,0.4481158
017,estimate,0.14197034
017,critical,0.13815768
017,7b,0.13461989
017,account,0.13713628
018,7a,0.83948284
018,account,0.02602808
018,statement,0.021561239
018,management,0.0153238615
018,small,0.0030528458
018,achievement,0.001481079
018,guarantee,0.0015120255
018,disclose,0.0018643327
018,scansource,0.0012331544
018,sec,0.0020466011
019,report,0.20539273
019,information,0.06890851
019,incorporate,0.04745852
019,management's,0.04941538
019,forward,0.04331422
019,section,0.036174253
019,exhibit,0.03435645
019,security,0.0371676
019,require,0.033493057
019,include,0.033843197
